enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
answerability,ANSWERABLE,elser,lastturn,R@1,0.17666286072115656,0.0,0.26067006027760287,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,R@3,0.35848725009379406,0.3333333333,0.36010176915326336,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,R@5,0.44690151566121294,0.5,0.3934567373353381,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,R@10,0.5533514675275035,0.6666666667,0.41789370421799904,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,nDCG@1,0.4005641748942172,0.0,0.4903587040710625,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,nDCG@3,0.3844927263325811,0.3065735964,0.37425491925261944,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,nDCG@5,0.4152355621379408,0.3868528072,0.37104947020672735,0.0,1.0,709
answerability,ANSWERABLE,elser,lastturn,nDCG@10,0.46173588110465447,0.469278726,0.3731018712069284,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,R@1,0.1888497100726375,0.0,0.26360806783885327,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,R@3,0.37842926545176303,0.3333333333,0.36773030109381816,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,R@5,0.4800350370523272,0.5,0.385224476263281,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,R@10,0.6127879642700987,0.6666666667,0.3899471906844573,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,nDCG@1,0.4330042313117066,0.0,0.4958410377609274,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,nDCG@3,0.4057606398944993,0.3868528072,0.37624653100248906,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,nDCG@5,0.44339301606403386,0.4414924137,0.36318780975891946,0.0,1.0,709
answerability,ANSWERABLE,elser,rewrite,nDCG@10,0.5015297958389281,0.5183322919,0.35376032505232374,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,R@1,0.08817583450648801,0.0,0.1989478628963647,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,R@3,0.19498287326121297,0.0,0.31714300778503357,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,R@5,0.2631674390489422,0.0,0.3727385853178895,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,R@10,0.34949123514033853,0.0,0.41422723462935523,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,nDCG@1,0.20451339915373765,0.0,0.4036303427186154,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,nDCG@3,0.20323975699266572,0.0,0.3251890162809007,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,nDCG@5,0.23206084043300423,0.0,0.3379246052277139,0.0,1.0,709
answerability,ANSWERABLE,elser,questions,nDCG@10,0.268947442735402,0.0,0.3457436007664975,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,R@1,0.08140573577630465,0.0,0.1958416136181602,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,R@3,0.16919873732143864,0.0,0.2910672457735946,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,R@5,0.21867374124019745,0.0,0.32984438484721945,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,R@10,0.3047585465778561,0.0,0.38371406362595895,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,nDCG@1,0.18899858956276447,0.0,0.3917838909777255,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,nDCG@3,0.18107198016445697,0.0,0.3021839204444373,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,nDCG@5,0.1991341281832158,0.0,0.3052660507800966,0.0,1.0,709
answerability,ANSWERABLE,bm25,lastturn,nDCG@10,0.23484056216473906,0.0,0.31692608172275466,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,R@1,0.08834038551734838,0.0,0.2007098688546042,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,R@3,0.1868392773170663,0.0,0.30145426025065375,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,R@5,0.2448216804338505,0.0,0.3369119786119421,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,R@10,0.3489153066019746,0.25,0.3884969912380308,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,nDCG@1,0.20874471086036672,0.0,0.40669847308815865,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,nDCG@3,0.19789794890183357,0.0,0.3084500550770601,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,nDCG@5,0.21933789837771508,0.0,0.30719730324483985,0.0,1.0,709
answerability,ANSWERABLE,bm25,rewrite,nDCG@10,0.26219456551847675,0.1480409555,0.3148678508338097,0.0,1.0,709
answerability,ANSWERABLE,bm25,questions,R@1,0.06125215483314527,0.0,0.16423757461261432,0.0,1.0,709
