enrichment_type,subtype,retrieval_method,strategy,metric,mean,median,std,min,max,count
multi_turn,Follow-up,elser,lastturn,R@1,0.1610281510945993,0.0,0.25455278130448017,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,R@3,0.32817045517247384,0.3333333333,0.3480675360352193,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,R@5,0.4085628560378049,0.3333333333,0.383667193653543,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,R@10,0.5135100381627178,0.5,0.4162738122404345,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,nDCG@1,0.367595818815331,0.0,0.4825710705146657,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,nDCG@3,0.3541002845263066,0.296081911,0.3642839824754085,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,nDCG@5,0.38059712818083624,0.32740432890000004,0.36138538060200265,0.0,1.0,574
multi_turn,Follow-up,elser,lastturn,nDCG@10,0.4266024767134146,0.42811391460000003,0.3680858909650605,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,R@1,0.1782589458510453,0.0,0.25949439506252975,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,R@3,0.35018942536236936,0.3333333333,0.3544815822769263,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,R@5,0.44605870803658537,0.5,0.38013406913780495,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,R@10,0.582229965158014,0.6666666667,0.39503905333887185,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,nDCG@1,0.41289198606271776,0.0,0.4927831691910079,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,nDCG@3,0.3791728030139373,0.3065735964,0.3642677853679687,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,nDCG@5,0.41330047078466897,0.39038005,0.35446942365322115,0.0,1.0,574
multi_turn,Follow-up,elser,rewrite,nDCG@10,0.47324982714477354,0.4911492932,0.35123319004723363,0.0,1.0,574
multi_turn,Follow-up,elser,questions,R@1,0.06152729384285714,0.0,0.16956528252910572,0.0,1.0,574
multi_turn,Follow-up,elser,questions,R@3,0.14310602289599303,0.0,0.2748516391149481,0.0,1.0,574
multi_turn,Follow-up,elser,questions,R@5,0.197772523643554,0.0,0.32837698734255105,0.0,1.0,574
multi_turn,Follow-up,elser,questions,R@10,0.28315704330522645,0.0,0.38240285115233247,0.0,1.0,574
multi_turn,Follow-up,elser,questions,nDCG@1,0.1480836236933798,0.0,0.35549265765144644,0.0,1.0,574
multi_turn,Follow-up,elser,questions,nDCG@3,0.1500773500641115,0.0,0.2822377508990768,0.0,1.0,574
multi_turn,Follow-up,elser,questions,nDCG@5,0.17202685122160277,0.0,0.2919070583823281,0.0,1.0,574
multi_turn,Follow-up,elser,questions,nDCG@10,0.2083472668304878,0.0,0.3045046236786628,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,R@1,0.07874564459756098,0.0,0.1935183322679729,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,R@3,0.15408578065243902,0.0,0.2750685162710203,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,R@5,0.20269896576498259,0.0,0.31992917569275003,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,R@10,0.28746059399320556,0.0,0.3760739828100581,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,nDCG@1,0.18292682926829268,0.0,0.38694372993250903,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,nDCG@3,0.1688237260576655,0.0,0.2929871603142522,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,nDCG@5,0.1866977514052265,0.0,0.2988448307788739,0.0,1.0,574
multi_turn,Follow-up,bm25,lastturn,nDCG@10,0.22186396917560974,0.0,0.31161078271847303,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,R@1,0.08577235772142856,0.0,0.1958901305314118,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,R@3,0.1738136718087108,0.0,0.2875212087621897,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,R@5,0.23270283723135887,0.0,0.32887350435340823,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,R@10,0.328305956528223,0.2,0.3780875417204923,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,nDCG@1,0.2073170731707317,0.0,0.40573822210113775,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,nDCG@3,0.18793475774442508,0.0,0.2996343555134029,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,nDCG@5,0.20971639883118467,0.0,0.3007061980189706,0.0,1.0,574
multi_turn,Follow-up,bm25,rewrite,nDCG@10,0.24930640265609755,0.12076699369999999,0.30883608962407527,0.0,1.0,574
multi_turn,Follow-up,bm25,questions,R@1,0.054055361980836235,0.0,0.1520678048511747,0.0,1.0,574
multi_turn,Follow-up,bm25,questions,R@3,0.11510563575,0.0,0.24923048630071273,0.0,1.0,574
