enrichment_type,subtype,domain,strategy,count,percentage,mean_score,median_score,std_dev,min_score,max_score
multi_turn,Follow-up,all,lastturn,574,73.87,18.47345834337979,18.6147135,5.001196703271249,5.407337,35.413162
multi_turn,Follow-up,all,rewrite,574,73.87,21.06092989825784,21.362694,4.579822833609079,6.830464,35.413162
multi_turn,Follow-up,all,questions,574,73.87,21.67213673867596,21.015931000000002,4.556298226600541,11.253816,39.63394
multi_turn,N/A,all,lastturn,102,13.13,21.22098494117647,21.731627500000002,3.9478358201659,10.792541,30.986572
multi_turn,N/A,all,rewrite,102,13.13,21.22091082352941,21.731627500000002,3.9478838953649196,10.792541,30.986572
multi_turn,N/A,all,questions,102,13.13,21.22108282352941,21.731627500000002,3.9479188873123285,10.792541,30.986572
multi_turn,Clarification,all,lastturn,101,13.0,17.28393669009901,17.278824,5.254683181392989,4.8060555,31.760063
multi_turn,Clarification,all,rewrite,101,13.0,21.294164688118812,21.939234,5.252586984665951,8.691966,32.775345
multi_turn,Clarification,all,questions,101,13.0,23.153487024752476,23.344574,4.275320920194057,12.711041,33.34116
multi_turn,Follow-up,clapnq,lastturn,154,74.04,19.156027201298702,19.369588999999998,5.075170779173324,6.9331846,35.413162
multi_turn,Follow-up,clapnq,rewrite,154,74.04,21.736637451948052,21.956255499999997,4.529689862677883,7.9557276,35.413162
multi_turn,Follow-up,clapnq,questions,154,74.04,22.160759675324677,21.712044,4.280581526808278,14.688102,33.722088
multi_turn,Follow-up,cloud,lastturn,135,71.81,17.88977280962963,17.676409,4.679280810332421,5.407337,28.868387
multi_turn,Follow-up,cloud,rewrite,135,71.81,20.190018007407406,20.208982,4.8186055786262365,6.830464,30.851904
multi_turn,Follow-up,cloud,questions,135,71.81,22.054308422222224,20.52525,5.6016244114377125,11.253816,39.63394
multi_turn,Follow-up,fiqa,lastturn,129,71.67,19.920361740310078,20.147356,4.523082834343492,8.970489,34.594685
multi_turn,Follow-up,fiqa,rewrite,129,71.67,22.39828651162791,22.603937,3.8132254759637934,11.614173,34.294754
multi_turn,Follow-up,fiqa,questions,129,71.67,21.81859842248062,21.598991,3.195575500886916,14.487915,29.554121
multi_turn,Follow-up,govt,lastturn,156,77.61,17.108275040384616,17.079245999999998,5.180456286089811,5.5316253,34.575405
multi_turn,Follow-up,govt,rewrite,156,77.61,20.04166796794872,19.545805,4.642881829383654,8.798764,34.281677
multi_turn,Follow-up,govt,questions,156,77.61,20.73794015705128,20.164951000000002,4.673014951115844,11.665485,33.414787
multi_turn,N/A,clapnq,lastturn,28,13.46,21.94096282142857,22.136347999999998,3.1299611544272374,15.703818,29.438145
multi_turn,N/A,clapnq,rewrite,28,13.46,21.94069282142857,22.1424285,3.13025237040013,15.703818,29.438145
multi_turn,N/A,clapnq,questions,28,13.46,21.941319392857142,22.136347999999998,3.1302679977565444,15.703818,29.438145
multi_turn,N/A,cloud,lastturn,25,13.3,19.79673928,19.51357,3.9843032847510234,14.251947,28.449621
multi_turn,N/A,cloud,rewrite,25,13.3,19.79673928,19.51357,3.9843032847510234,14.251947,28.449621
multi_turn,N/A,cloud,questions,25,13.3,19.79673928,19.51357,3.9843032847510234,14.251947,28.449621
multi_turn,N/A,fiqa,lastturn,24,13.33,23.672983333333335,23.208911999999998,3.420988190745077,15.651551,30.986572
multi_turn,N/A,fiqa,rewrite,24,13.33,23.672983333333335,23.208911999999998,3.420988190745077,15.651551,30.986572
multi_turn,N/A,fiqa,questions,24,13.33,23.672983333333335,23.208911999999998,3.420988190745077,15.651551,30.986572
multi_turn,N/A,govt,lastturn,25,12.44,19.48493692,20.06309,3.9506525580449674,10.792541,26.58005
multi_turn,N/A,govt,rewrite,25,12.44,19.48493692,20.06309,3.9506525580449674,10.792541,26.58005
multi_turn,N/A,govt,questions,25,12.44,19.48493692,20.06309,3.9506525580449674,10.792541,26.58005
multi_turn,Clarification,clapnq,lastturn,26,12.5,19.48998275,19.5958985,4.8310801782682455,12.971086,30.644619
multi_turn,Clarification,clapnq,rewrite,26,12.5,23.177333923076922,23.139032,4.726282340931535,11.472104,31.975386
multi_turn,Clarification,clapnq,questions,26,12.5,22.97077896153846,21.9222505,4.483595355292246,15.830218,30.447271
multi_turn,Clarification,cloud,lastturn,28,14.89,16.719827596428573,17.075535000000002,5.34421421855006,5.9655437,31.760063
multi_turn,Clarification,cloud,rewrite,28,14.89,20.585222553571427,20.796204000000003,5.194878878013076,11.696161,30.11615
multi_turn,Clarification,cloud,questions,28,14.89,25.22276689285714,25.4560595,4.403966064066699,12.711041,33.34116
multi_turn,Clarification,fiqa,lastturn,27,15.0,18.64450888888889,18.408257,4.48464477118072,11.791775,29.914299
multi_turn,Clarification,fiqa,rewrite,27,15.0,22.318668333333335,23.359516,3.724190793118419,12.941156,27.91181
multi_turn,Clarification,fiqa,questions,27,15.0,21.768063185185184,20.842686,3.33696484739773,15.02103,27.7487
multi_turn,Clarification,govt,lastturn,20,9.95,13.369057075,12.705441,4.540383767186131,4.8060555,20.76595
multi_turn,Clarification,govt,rewrite,20,9.95,18.45548375,18.169914499999997,6.551385186411238,8.691966,32.775345
multi_turn,Clarification,govt,questions,20,9.95,22.364337875,23.236922,4.148869073428069,14.965659,27.976141
