domain,query_type,bm25_bge_rerank,bm25,bge,elser
clapnq,lastturn,0.39065,0.25522,0.42429,0.52701
cloud,lastturn,0.31519,0.22692,0.30736,0.42729000000000006
fiqa,lastturn,0.24541,0.12168999999999999,0.29126,0.3909
govt,lastturn,0.34973,0.30709,0.34428999999999993,0.44861
clapnq,rewrite,0.46101999999999993,0.29366,0.4982,0.57804
cloud,rewrite,0.34536,0.23289,0.34201,0.4377
fiqa,rewrite,0.29833,0.17368,0.34102,0.43553
govt,rewrite,0.41314,0.34175,0.41991,0.51695
clapnq,questions,0.29005,0.22831,0.28156,0.31531
cloud,questions,0.20454,0.16632,0.18432,0.22204
fiqa,questions,0.14695,0.10184,0.13893,0.2071
govt,questions,0.24173999999999998,0.2607,0.22985,0.33965999999999996
